agent,workload,network,seen,condition,episode,seed,total_tasks_generated,num_completed,num_failed,completion_rate,avg_latency_ms,deadline_met_rate,total_energy_joules,final_time_ms,task_seed,duration_ms,truncated,num_decisions,episode_return,p95_latency_ms,late_completions,deadline_failures,sla_violations,rejections,fail_deadline_missed_while_running,raw_latency,raw_sla,raw_rejection,raw_balance,raw_energy,raw_utilization,w_latency,w_sla,w_rejection,w_balance,w_energy,w_utilization,fail_server_full_or_incompatible
Random,burst,unseen,False,burst_unseen,8,50008,186.0,8.0,178.0,0.043010752688172046,1266.0316712479505,1.0,10032.962971024543,93210.0,50008.0,10000.0,0.0,186.0,-631.0844681846712,2067.227286167622,0.0,178.0,178.0,0.0,178.0,10.128253369983604,196.0,0.0,63.10957314625406,100.32962971024543,9.784563862457656,-5.064126684991802,-588.0,0.0,-18.932871943876204,-20.065925942049084,0.9784563862457704,0.0
Greedy,burst,unseen,False,burst_unseen,8,50008,186.0,8.0,178.0,0.043010752688172046,1442.7973750933918,1.0,3844.115673760448,35360.0,50008.0,10000.0,0.0,186.0,-602.317482056822,2063.8420115367417,0.0,178.0,178.0,0.0,178.0,11.542379000747136,196.0,0.0,5.977429176217742,38.44115673760448,9.35167543938,-5.771189500373568,-588.0,0.0,-1.7932287528653208,-7.6882313475208965,0.9351675439380019,0.0
PPO,burst,unseen,False,burst_unseen,8,50008,186.0,18.0,168.0,0.0967741935483871,818.0034973466994,0.9444444444444444,6886.347237163815,63380.0,50008.0,10000.0,0.0,186.0,-594.6006119117104,1323.9047272521448,1.0,168.0,169.0,0.0,168.0,14.724062952240589,186.5,0.0,51.750040372251206,68.86347237163817,15.591261504129198,-7.362031476120294,-559.5,0.0,-15.525012111675352,-13.772694474327633,1.559126150412921,0.0
FIFO,burst,unseen,False,burst_unseen,9,50009,167.0,1.0,166.0,0.005988023952095809,1357.2203828448328,1.0,21613.237620834654,201940.0,50009.0,10000.0,0.0,167.0,-607.0017565385403,1357.2203828448328,0.0,166.0,166.0,0.0,166.0,1.3572203828448328,173.5,0.0,141.98890368482895,216.13237620834656,0.0,-0.6786101914224164,-520.5,0.0,-42.59667110544864,-43.22647524166931,0.0,0.0
RoundRobin,burst,unseen,False,burst_unseen,9,50009,167.0,9.0,158.0,0.05389221556886228,1200.1553920209471,1.0,9622.179813233228,89480.0,50009.0,10000.0,0.0,167.0,-542.6260357110873,1955.2553214973136,0.0,158.0,158.0,0.0,158.0,10.801398528188525,167.0,0.0,58.76374584575442,96.22179813233228,6.481469331996178,-5.400699264094262,-501.0,0.0,-17.629123753726322,-19.244359626466455,0.6481469331996177,0.0
Random,burst,unseen,False,burst_unseen,9,50009,167.0,7.0,160.0,0.041916167664670656,1324.4640453326506,1.0,7560.869131019226,70030.0,50009.0,10000.0,0.0,167.0,-539.7983923323205,1562.7551510906362,0.0,160.0,160.0,0.0,160.0,9.271248317328554,168.5,0.0,51.23995701758268,75.60869131019226,8.309571936570068,-4.635624158664277,-505.5,0.0,-15.371987105274806,-15.121738262038452,0.830957193657008,0.0
Greedy,burst,unseen,False,burst_unseen,9,50009,167.0,5.0,162.0,0.029940119760479042,1028.5073693667287,1.0,4938.627462007323,45730.0,50009.0,10000.0,0.0,167.0,-525.3387360198876,1473.9837168379352,0.0,162.0,162.0,0.0,162.0,5.142536846833644,170.5,0.0,6.526124913094927,49.38627462007322,5.676248014724166,-2.571268423416822,-511.5,0.0,-1.9578374739284765,-9.877254924014647,0.5676248014724153,0.0
PPO,burst,unseen,False,burst_unseen,9,50009,167.0,19.0,148.0,0.11377245508982035,885.5069061412394,1.0,4525.3441203674565,41380.0,50009.0,10000.0,0.0,167.0,-504.4191764716703,1628.5721063372548,0.0,148.0,148.0,0.0,148.0,16.82463121668355,157.5,0.0,52.5946240221592,45.25344120367457,13.222145840540126,-8.412315608341775,-472.5,0.0,-15.778387206647748,-9.050688240734912,1.3222145840540132,0.0
FIFO,variable,normal,True,variable_normal,0,50000,100.0,1.0,99.0,0.01,625.434970938454,1.0,6459.653559425863,60340.0,50000.0,10000.0,0.0,100.0,-341.14921447458244,625.434970938454,0.0,99.0,99.0,0.0,99.0,0.6254349709384539,102.0,0.0,73.15449027355947,64.59653559425863,0.29157211806354827,-0.31271748546922695,-306.0,0.0,-21.94634708206787,-12.919307118851727,0.029157211806354826,0.0
RoundRobin,variable,normal,True,variable_normal,0,50000,100.0,41.0,59.0,0.41,752.9471660926922,0.975609756097561,3166.083108971896,27650.0,50000.0,10000.0,0.0,100.0,-219.6277290830837,1170.136242580899,1.0,59.0,60.0,0.0,59.0,30.870833809800384,64.5,0.0,18.0238095423979,31.660831089718954,10.469969024796335,-15.435416904900192,-193.5,0.0,-5.407142862719369,-6.332166217943792,1.0469969024796335,0.0
