agent,workload,network,seen,condition,episode,seed,total_tasks_generated,num_completed,num_failed,completion_rate,avg_latency_ms,deadline_met_rate,total_energy_joules,final_time_ms,task_seed,duration_ms,truncated,num_decisions,episode_return,p95_latency_ms,late_completions,deadline_failures,sla_violations,rejections,fail_deadline_missed_while_running,raw_latency,raw_sla,raw_rejection,raw_balance,raw_energy,raw_utilization,w_latency,w_sla,w_rejection,w_balance,w_energy,w_utilization,m_latency_mean_ms,m_latency_p50_ms,m_latency_p95_ms,m_latency_p99_ms,m_latency_max_ms,m_excess_latency_mean_ms,m_on_time_rate,m_late_rate,m_deadline_failure_rate,m_rejection_rate,m_sla_violation_rate,m_completion_rate,m_makespan_s,m_throughput_tps,m_goodput_tps,m_energy_j,m_energy_per_task_j,m_mean_power_w,m_jain_server_tasks,m_jain_server_tasks_per_core,m_max_server_task_share,m_tasks_server1,m_tasks_server2,m_tasks_server3,m_tasks_server4,m_jain_user_completion,m_min_user_completion_rate,m_util_cpu_fleet,m_util_ram_fleet,m_util_variance_servers,m_util_std_servers,m_util_std_instant_mean,m_queue_mean_fill,m_queue_max_seen,m_util_server1,m_queue_server1,m_util_server2,m_queue_server2,m_util_server3,m_queue_server3,m_util_server4,m_queue_server4,fail_server_full_or_incompatible
RoundRobin,heavy,congested,True,heavy_congested,0,90000,163.0,4.0,159.0,0.024539877300613498,1565.8759388310696,1.0,12794.44078748196,119350.0,90000.0,10000.0,0.0,163.0,-622.3315770524463,2349.7443717431615,0.0,149.0,149.0,10.0,149.0,6.263503755324278,177.5,12.0,44.29637932711061,127.9444078748196,1.7797019831285381,-3.131751877662139,-532.5,-48.0,-13.288913798133187,-25.588881574963924,0.1779701983128539,1565.8759388310696,1435.0728303162487,2349.7443717431615,2474.661792280208,2505.8911474144697,911.799897150082,0.024539877300613498,0.0,0.9141104294478528,0.06134969325153374,0.9141104294478528,0.024539877300613498,119.35,0.033514872224549644,0.033514872224549644,12794.44078748196,78.493501763693,107.20101204425606,0.6666666666666666,0.6926229508196721,0.5,1.0,1.0,0.0,2.0,0.16632302405498275,0.0,0.014510207562211337,0.008962357148278291,5.4950193863522174e-05,0.007412839797508251,0.01762493893470557,0.0,0.0,0.011554675823307492,0.0,0.010022965937774735,0.0,0.0,0.0,0.02090524715183891,0.0,10.0
Random,heavy,congested,True,heavy_congested,0,90000,163.0,8.0,155.0,0.049079754601226995,1007.7164762690041,0.875,15795.099810697011,147040.0,90000.0,10000.0,0.0,163.0,-617.7654868360921,1523.7292848655495,1.0,151.0,152.0,4.0,151.0,8.061731810152034,183.0,3.5,65.19627401809535,157.95099810697013,4.14460895806431,-4.030865905076017,-549.0,-14.0,-19.558882205428603,-31.590199621394028,0.41446089580643125,1007.7164762690043,1059.5709479357624,1523.7292848655495,1580.6759713243764,1594.912642939083,510.751091779948,0.04294478527607362,0.006134969325153374,0.9263803680981595,0.024539877300613498,0.9325153374233128,0.049079754601226995,147.04,0.0544069640914037,0.04760609357997824,15795.099810697011,96.90245282636204,107.42042852759121,0.4,0.45,0.75,0.0,2.0,0.0,6.0,0.3908188832121922,0.0,0.034108287756980146,0.016376647748399874,0.0006663830310875944,0.02581439581101201,0.03174168043281857,0.0,0.0,0.0,0.0,0.01630040223384716,0.0,0.0,0.0,0.06303435531755887,0.0,4.0
Greedy,heavy,congested,True,heavy_congested,0,90000,163.0,4.0,159.0,0.024539877300613498,1333.6566949092562,0.75,8405.260292468549,78230.0,90000.0,10000.0,0.0,163.0,-592.0008751316316,1795.1042634350863,1.0,159.0,160.0,0.0,159.0,5.334626779637024,190.5,0.0,4.164672039885826,84.05260292468549,2.263604550897428,-2.667313389818512,-571.5,0.0,-1.2494016119657472,-16.8105205849371,0.2263604550897429,1333.6566949092562,1297.8141062439345,1795.1042634350863,1840.2461485844929,1851.5316198718447,742.0381949556682,0.018404907975460124,0.006134969325153374,0.9754601226993865,0.0,0.9815950920245399,0.024539877300613498,78.23,0.05113127956027099,0.03834845967020324,8405.260292468549,51.56601406422423,107.44292844776362,0.4,0.5,0.75,1.0,0.0,0.0,3.0,0.24620948122822012,0.0,0.019203511196530153,0.011756022371080515,0.00011490310246227794,0.010719286471695677,0.022858974278148675,0.0,0.0,0.01819622161934063,0.0,0.009683435163218963,0.0,0.0,0.0,0.02908657694388914,0.0,0.0
ECT,heavy,congested,True,heavy_congested,0,90000,163.0,3.0,160.0,0.018404907975460124,1290.886186359158,1.0,6112.959401878186,56880.0,90000.0,10000.0,0.0,163.0,-592.2812139036868,1918.4492755312826,0.0,160.0,160.0,0.0,160.0,3.8726585590774736,190.5,0.0,23.010187761602914,61.12959401878187,2.8409050808939766,-1.9363292795387368,-571.5,0.0,-6.90305632848087,-12.225918803756374,0.2840905080893975,1290.886186359158,1230.2789688610794,1918.4492755312826,1979.619969457523,1994.912642939083,757.5604262846203,0.018404907975460124,0.0,0.9815950920245399,0.0,0.9815950920245399,0.018404907975460124,56.88,0.05274261603375527,0.05274261603375527,6112.959401878186,37.50281841643059,107.47115685439849,0.25,0.25,1.0,0.0,0.0,0.0,3.0,0.1932278656674993,0.0,0.01572143281511775,0.010943491843057984,9.862732104403735e-05,0.009931128890717175,0.017111992004605434,0.0,0.0,0.019910630188565606,0.0,0.005235504259311115,0.0,0.0,0.0,0.023935891530359184,0.0,0.0
PPO,heavy,congested,True,heavy_congested,0,90000,163.0,3.0,160.0,0.018404907975460124,1290.886186359158,1.0,6934.71940187805,64560.0,90000.0,10000.0,0.0,163.0,-593.3288457133503,1918.4492755312826,0.0,160.0,160.0,0.0,160.0,3.8726585590774736,190.5,0.0,21.023893793815915,69.34719401878051,2.8409050808939766,-1.9363292795387368,-571.5,0.0,-6.307168138144773,-13.869438803756102,0.2840905080893975,1290.886186359158,1230.2789688610794,1918.4492755312826,1979.619969457523,1994.912642939083,757.5604262846203,0.018404907975460124,0.0,0.9815950920245399,0.0,0.9815950920245399,0.018404907975460124,64.56,0.046468401486988845,0.046468401486988845,6934.71940187805,42.54429080906779,107.41510845536013,0.25,0.25,1.0,0.0,0.0,0.0,3.0,0.1932278656674993,0.0,0.01572143281511775,0.010943491843057984,9.862732104403735e-05,0.009931128890717175,0.017111992004605434,0.0,0.0,0.019910630188565606,0.0,0.005235504259311115,0.0,0.0,0.0,0.023935891530359184,0.0,0.0
FIFO,heavy,congested,True,heavy_congested,1,90001,185.0,1.0,184.0,0.005405405405405406,541.2128160072373,1.0,40079.17667448375,374530.0,90001.0,10000.0,0.0,185.0,-772.5137226683811,541.2128160072373,0.0,184.0,184.0,0.0,184.0,0.5412128160072373,214.5,0.0,162.00204850825747,400.7917667448375,0.15851641067379688,-0.2706064080036186,-643.5,0.0,-48.60061455247715,-80.15835334896751,0.01585164106737969,541.2128160072373,541.2128160072373,541.2128160072373,541.2128160072373,541.2128160072373,315.89074924978115,0.005405405405405406,0.0,0.9945945945945946,0.0,0.9945945945945946,0.005405405405405406,374.53,0.0026700130830641074,0.0026700130830641074,40079.17667448375,216.6441982404527,107.01192607930942,0.25,0.25,1.0,1.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0017436805174117658,0.0005381310332827373,2.4085841025442045e-05,0.004907732778528395,0.004907732778528395,0.0,0.0,0.011333923363176478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RoundRobin,heavy,congested,True,heavy_congested,1,90001,185.0,2.0,183.0,0.010810810810810811,754.3875793124128,1.0,13905.434956202002,129870.0,90001.0,10000.0,0.0,185.0,-699.5071679712403,946.2448662870706,0.0,175.0,175.0,8.0,175.0,1.5087751586248255,204.0,10.0,63.28414030629535,139.05434956202,0.4333161236471249,-0.7543875793124127,-612.0,-40.0,-18.9852420918886,-27.810869912404,0.04333161236471249,754.3875793124128,754.3875793124128,946.2448662870706,963.2988473514847,967.5623426175882,502.7759010388603,0.010810810810810811,0.0,0.9459459459459459,0.043243243243243246,0.9459459459459459,0.010810810810810811,129.87,0.015400015400015399,0.015400015400015399,13905.434956202002,75.16451327676758,107.07195623471165,0.5,0.39999999999999997,0.5,1.0,0.0,0.0,1.0,0.06666666666666667,0.0,0.004959151671656995,0.0025370138728198874,2.2315254291571126e-05,0.004723902443062423,0.007973197105819346,0.0,0.0,0.011333923363176478,0.0,0.00033759735203749705,0.0,0.0,0.0,0.006741789266172999,0.0,8.0
Random,heavy,congested,True,heavy_congested,1,90001,185.0,4.0,181.0,0.021621621621621623,1624.8766702807286,1.0,10327.120174763064,96090.0,90001.0,10000.0,0.0,185.0,-694.633484923329,2050.8223524243867,0.0,166.0,166.0,15.0,166.0,6.499506681122914,195.0,17.0,60.53417367514175,103.27120174763064,4.307608693010289,-3.249753340561457,-585.0,-68.0,-18.160252102542533,-20.654240349526123,0.4307608693010293,1624.8766702807286,2016.6226038829668,2050.8223524243867,2054.203396364672,2055.0486573497433,992.5290922954437,0.021621621621621623,0.0,0.8972972972972973,0.08108108108108109,0.8972972972972973,0.021621621621621623,96.09,0.041627640753460295,0.041627640753460295,10327.120174763064,55.82227121493548,107.47341216321223,0.5,0.48076923076923067,0.5,0.0,2.0,0.0,2.0,0.24453811029153488,0.0,0.02564247197145387,0.010626762637390794,0.00028871370019722096,0.016991577331054965,0.02732232951127064,0.0,0.0,0.0,0.0,0.022618583764187458,0.0,0.0,0.0,0.04047963342869175,0.0,15.0
Greedy,heavy,congested,True,heavy_congested,1,90001,185.0,1.0,184.0,0.005405405405405406,541.2128160072373,1.0,9083.223765739942,84840.0,90001.0,10000.0,0.0,185.0,-662.907300443239,541.2128160072373,0.0,184.0,184.0,0.0,184.0,0.5412128160072373,214.5,0.0,3.286993816076138,90.83223765739942,0.15851641067379688,-0.2706064080036186,-643.5,0.0,-0.986098144822843,-18.166447531479882,0.01585164106737969,541.2128160072373,541.2128160072373,541.2128160072373,541.2128160072373,541.2128160072373,315.89074924978115,0.005405405405405406,0.0,0.9945945945945946,0.0,0.9945945945945946,0.005405405405405406,84.84,0.011786892975011787,0.011786892975011787,9083.223765739942,49.098506841837526,107.06298639486023,0.25,0.25,1.0,1.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.002351038276017246,0.0009577462120619625,2.254618735590653e-05,0.004748282569088168,0.005477552297344478,0.0,0.0,0.011333923363176478,0.0,0.0,0.0,0.0,0.0,0.0013159418103118735,0.0,0.0
ECT,heavy,congested,True,heavy_congested,1,90001,185.0,1.0,184.0,0.005405405405405406,381.2128160072373,1.0,9932.60754911666,92750.0,90001.0,10000.0,0.0,185.0,-672.911639131337,381.2128160072373,0.0,181.0,181.0,3.0,181.0,0.3812128160072373,212.5,2.0,24.898686641122715,99.3260754911666,1.1378836723671482,-0.19060640800361864,-637.5,-8.0,-7.469605992336815,-19.86521509823332,0.11378836723671482,381.2128160072373,381.2128160072373,381.2128160072373,381.2128160072373,381.2128160072373,155.89074924978112,0.005405405405405406,0.0,0.9783783783783784,0.016216216216216217,0.9783783783783784,0.005405405405405406,92.75,0.01078167115902965,0.01078167115902965,9932.60754911666,53.689770535765724,107.09010834627126,0.25,0.25,1.0,0.0,0.0,0.0,1.0,0.06666666666666667,0.0,0.004806977304010889,0.00117271849378729,2.0339001069872963e-05,0.004509878165746051,0.004509878165746056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010415117492023592,0.0,3.0
PPO,heavy,congested,True,heavy_congested,1,90001,185.0,1.0,184.0,0.005405405405405406,381.2128160072373,1.0,8115.747549116658,75770.0,90001.0,10000.0,0.0,185.0,-666.6525380373917,381.2128160072373,0.0,184.0,184.0,0.0,184.0,0.3812128160072373,214.5,0.0,22.81408299463778,81.15747549116658,1.1378836723671482,-0.19060640800361864,-643.5,0.0,-6.844224898391334,-16.231495098233317,0.11378836723671482,381.2128160072373,381.2128160072373,381.2128160072373,381.2128160072373,381.2128160072373,155.89074924978112,0.005405405405405406,0.0,0.9945945945945946,0.0,0.9945945945945946,0.005405405405405406,75.77,0.013197835554968985,0.013197835554968985,8115.747549116658,43.86890567090085,107.11030155888423,0.25,0.25,1.0,0.0,0.0,0.0,1.0,0.06666666666666667,0.0,0.004806977304010889,0.00117271849378729,2.0339001069872963e-05,0.004509878165746051,0.004509878165746056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010415117492023592,0.0,0.0
FIFO,heavy,unseen,False,heavy_unseen,0,90000,163.0,1.0,162.0,0.006134969325153374,747.4669472773112,1.0,23454.67772828128,219170.0,90000.0,10000.0,0.0,163.0,-663.6729307826305,747.4669472773112,0.0,162.0,162.0,0.0,162.0,0.7474669472773112,191.5,0.0,139.69313153679553,234.5467772828128,0.18097608609461574,-0.3737334736386556,-574.5,0.0,-41.90793946103863,-46.909355456562565,0.018097608609461573,747.4669472773112,747.4669472773112,747.4669472773112,747.4669472773112,747.4669472773112,298.04587011273605,0.006134969325153374,0.0,0.9938650306748467,0.0,0.9938650306748467,0.006134969325153374,219.17,0.004562668248391659,0.004562668248391659,23454.67772828128,143.89372839436368,107.01591334708802,0.25,0.25,1.0,1.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0015925895576326195,0.0013787488145314412,2.0092580313028042e-05,0.004482474797812927,0.004482474797812923,0.0,0.0,0.010351832124612027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RoundRobin,heavy,unseen,False,heavy_unseen,0,90000,163.0,12.0,151.0,0.0736196319018405,1155.1477836473211,0.9166666666666666,8310.730503745619,76540.0,90000.0,10000.0,0.0,163.0,-598.1763139129416,2083.7706019322127,1.0,141.0,142.0,10.0,141.0,13.861773403767852,171.5,12.0,43.7432240165642,83.10730503745619,9.9900100140276,-6.930886701883926,-514.5,-48.0,-13.122967204969266,-16.621461007491234,0.99900100140276,1155.147783647321,1113.0973506233815,2083.7706019322127,2609.6971796828966,2741.178824120567,616.338193021339,0.06748466257668712,0.006134969325153374,0.8650306748466258,0.06134969325153374,0.8711656441717791,0.0736196319018405,76.54,0.15678076822576428,0.1437157042069506,8310.730503745619,50.98607671009582,108.58022607454427,0.5,0.6628440366972477,0.6666666666666666,2.0,2.0,0.0,8.0,0.41207300636368127,0.0,0.057937283763865595,0.026265467069797047,0.0007574103448675588,0.02752108909304933,0.061397519940431126,0.0,0.0,0.0397559954798289,0.0,0.05730597414248333,0.0,0.0,0.0,0.0740748002334436,0.0,10.0
Random,heavy,unseen,False,heavy_unseen,0,90000,163.0,21.0,142.0,0.12883435582822086,1096.1934655376415,1.0,10344.94591288655,95120.0,90000.0,10000.0,0.0,163.0,-571.401276466095,1852.5144020967227,0.0,138.0,138.0,4.0,138.0,23.020062776290473,169.5,3.5,60.42087216573663,103.4494591288655,14.249083975443233,-11.510031388145237,-508.5,-14.0,-18.126261649721002,-20.6898918257731,1.424908397544327,1096.1934655376415,1134.912642939083,1852.5144020967227,2242.9126897422634,2340.5122616536482,533.8424468937675,0.12883435582822086,0.0,0.8466257668711656,0.024539877300613498,0.8466257668711656,0.12883435582822086,95.12,0.22077375946173253,0.22077375946173253,10344.94591288655,63.465925845929746,108.75679050553562,0.4392430278884462,0.560077519379845,0.7142857142857143,1.0,5.0,0.0,15.0,0.6211969265259285,0.0,0.08300963471177206,0.04016967380358293,0.0021585866457677575,0.046460592395790194,0.06923578186059638,0.0,0.0,0.023190408408294092,0.0,0.0830888370140851,0.0,0.0,0.0,0.11673151439668468,0.0,4.0
