agent,seen,condition,episode_return_mean,episode_return_std,completion_rate_mean,completion_rate_std,num_completed_mean,num_completed_std,num_failed_mean,num_failed_std,w_latency_mean,w_latency_std,w_sla_mean,w_sla_std,w_rejection_mean,w_rejection_std,w_balance_mean,w_balance_std,w_energy_mean,w_energy_std,w_utilization_mean,w_utilization_std
ECT,False,unseen_normal,-488.7789170198157,46.16247147253442,0.040620275212533176,0.014904567511237511,4.9,1.860956177543373,115.15,8.646721313520183,-5.914750446986611,2.445019001862138,-455.55,34.508923331128194,-6.4,16.034174030554407,-9.00576383320934,1.6277240565892874,-13.579896359818687,1.384481038686753,1.671493620198897,0.5820461521503666
ECT,False,unseen_unseen,-511.531828026343,52.3364638500608,0.018426494494421332,0.011184962508253954,2.2,1.3218806379747876,117.85,9.252453444186687,-2.8290742251494874,1.7010062738457,-438.075,26.67113312375879,-39.7,32.087216670883286,-7.66154469838046,1.3436402096916646,-24.08491424588054,3.5683443136439554,0.8187051430674469,0.4607592179967295
ECT,False,variable_unseen,-255.66497197491017,40.17202046367317,0.2217091902634903,0.07469567599486175,19.1,5.097987218914003,69.05,11.80309950372091,-11.261130287707976,2.8836225127115243,-239.175,41.814840918657474,0.0,0.0,-2.8853486314951224,0.4867873080861081,-3.0414080193715476,0.25128192432968055,0.6979149636644872,0.16787867918021204
ECT,True,burst_congested,-501.0701339352628,86.96770831042352,0.04658652501649066,0.024153887414023894,7.1,3.1606128652858647,151.25,24.111309859854043,-4.3107216134274635,1.8756349957823821,-475.275,79.22809758771456,0.0,0.0,-7.319499823670566,1.7606249004627947,-14.643855891118184,7.128260305010037,0.47894339295343225,0.1429750153445334
ECT,True,burst_normal,-435.7467396479598,79.44305001413667,0.21565956285034593,0.06828947358090011,33.45,8.882122790367058,124.9,24.92071638743874,-16.85666486078731,4.321304151488142,-409.35,78.52188766264642,0.0,0.0,-8.202374012853575,1.6394545270010976,-3.7381218606321363,0.608961268186874,2.4004210863132354,0.6109072670683531
ECT,True,heavy_congested,-646.4213184686936,42.53213833022834,0.019736799329810966,0.009290911463319257,3.6,1.729009451741235,178.35,10.142536794686965,-2.513507014419626,1.3878698516896857,-583.275,34.28920153787871,-29.7,16.003618011989797,-8.354178092543757,1.3836314415012956,-22.961239347942712,5.124570893004906,0.3826059862124717,0.16510787836730964
ECT,True,heavy_normal,-573.8022525341164,51.72447484782197,0.15112799544683567,0.06719326689762035,27.2,11.138364237837477,154.75,17.59448179042748,-17.428693518385934,6.5702998868700595,-544.875,55.70100514069931,0.0,0.0,-9.469875170040245,1.1340747903456094,-4.373429890291023,0.260807486951846,2.3447460446008392,0.6658212231511437
ECT,True,normal_congested,-147.39258021662596,29.994214629898963,0.22514928795658246,0.09824563208845175,11.15,4.4517885229008325,40.1,9.585625202683222,-6.476743476517707,2.669846920965351,-137.325,30.976763362576353,0.0,0.0,-0.9929586325002399,0.2989879162759323,-2.7899732764042238,0.28664934958383803,0.19209516879620542,0.08812583203477618
ECT,True,normal_normal,-60.03035503682156,13.746236092417499,0.8373778965930899,0.05321284437220085,42.8,6.346155072997058,8.45,3.3162280411715708,-15.179659818340156,3.0441598645680035,-41.325,12.354708243802186,0.0,0.0,-1.395202685842443,0.42206186431594783,-2.6539772560036665,0.10591446604485992,0.5234847233647024,0.1781873728739057
ECT,True,variable_congested,-280.3229707150196,35.875661832489705,0.07537968788440272,0.04110465238971742,6.5,3.410510071436298,81.65,9.43272578788728,-4.4094248739838315,2.627935266976238,-269.325,36.95597487480703,0.0,0.0,-2.484832691664657,0.5286739341573417,-4.40253508976688,0.48338389480670424,0.2988219403957596,0.15089470305720679
ECT,True,variable_normal,-169.8179622046857,39.90124754130149,0.6163328177736971,0.078859964327335,53.85,3.963982580024392,34.3,9.487387749838703,-23.282677227654997,1.808716355631999,-141.45,39.501132562044475,0.0,0.0,-3.6126805706100145,0.5226360077339717,-2.9175490186261497,0.12968124918615875,1.4449446122054679,0.23242018342912496
FIFO,False,burst_unseen,-569.7971091681918,89.64058373993338,0.006547698505579678,0.00658549399585488,1.0,0.9733285267845752,157.35,23.215863451301434,-0.6549868422095454,0.7037641964382758,-489.975,76.71606484474526,0.0,0.0,-40.22531604162969,6.801411054433464,-38.998484015877814,6.717029157659523,0.0566777315252054,0.07297329047920892
FIFO,False,heavy_unseen,-715.289064321498,42.99517037379417,0.0035794517001167007,0.0031930781967221536,0.65,0.5871429486123998,181.3,10.382677881933928,-0.3896677640552228,0.42463109718483416,-612.525,37.185337730149264,0.0,0.0,-47.87623089978389,3.2722142603598523,-54.56343023051075,4.521441720751259,0.06526457285187313,0.05207274108780568
FIFO,False,normal_unseen,-179.34446379566694,29.46417256695431,0.023477874383907103,0.021313270971182675,1.25,1.164157703189193,50.0,7.42683611888953,-0.7425636470139771,0.829226881205464,-160.95,25.46096082860561,0.0,0.0,-6.828598416630617,2.252051343375948,-10.84789072807663,2.093008746202993,0.024588996054282625,0.02515678825269343
FIFO,False,unseen_congested,-616.0377802218101,42.1257356347725,0.005461394016237994,0.006259645379156767,0.65,0.7451598203705946,117.75,7.986007499963527,-0.9101561225355802,1.0465278494180525,-465.975,37.65685615913088,0.0,0.0,-24.766860608001135,2.879351149531403,-124.65011523504356,6.084722337540129,0.2643517437701774,0.24420886019157614
FIFO,False,unseen_normal,-547.5943740652999,48.038058164765474,0.014891976789116306,0.006643029162416524,1.8,0.8335087534664908,118.25,8.854823247069481,-2.283687794646021,1.178006931207966,-469.05,42.08196888529763,0.0,0.0,-24.952723001070282,3.0246953056546046,-52.115174449350874,5.6064463061527885,0.8072111797672262,0.3307809405628731
FIFO,False,unseen_unseen,-584.284101689376,50.659778899365165,0.008291740299272255,0.005322275829835931,1.0,0.6488856845230502,119.05,9.029046694448217,-1.2922756702821006,0.893132542345637,-470.925,42.06050622865263,0.0,0.0,-24.8414534794368,2.9756645879799177,-87.6095592363483,9.347906416327831,0.3841866966912021,0.2647172091142765
FIFO,False,variable_unseen,-323.07648037946456,38.18517383097755,0.009114761305750566,0.007833296961854213,0.8,0.6958523739384593,87.35,7.6932985191829895,-0.4828688083312994,0.4925037229223944,-282.75,34.17235724968356,0.0,0.0,-18.921202868538327,2.658063352819574,-20.968939524238227,2.566227298525093,0.0465308216432665,0.03712783642303907
FIFO,True,burst_congested,-591.6986364848755,93.11851663704941,0.0033187616160961454,0.005064057900308642,0.5,0.760885910252682,157.85,23.18864286444415,-0.3871000657888929,0.5918191593089107,-491.475,76.68055318555093,0.0,0.0,-40.39421313806637,6.8878528769999825,-59.47962074877029,10.201648254789955,0.03729746775013735,0.05368398939609424
FIFO,True,burst_normal,-550.4263726016554,86.9241853474815,0.015482420609068043,0.00962623349043227,2.35,1.3869694338832113,156.0,23.485717944495992,-1.4457752449200827,0.8474764956972816,-486.6,76.99976076517859,0.0,0.0,-39.84285715572523,6.7274345663045985,-22.657702436937257,3.8151848288911925,0.11996223592720615,0.08950557362611893
FIFO,True,heavy_congested,-744.7587993468685,44.20169260596538,0.0022141180036756697,0.002788379039690427,0.4,0.5026246899500346,181.55,10.414943717158483,-0.25105889491550987,0.34858314234908166,-613.35,37.07251074086539,0.0,0.0,-47.84641445824618,3.3077685971241158,-83.34904502918296,6.544205411278744,0.03771903547613862,0.0463283795693883
FIFO,True,heavy_normal,-690.5214723491629,41.10818515140392,0.008753610388272463,0.005687129882988411,1.6,1.0462967275611939,180.35,10.204617118065519,-0.9843124777507081,0.7235105322412326,-610.05,36.571451333404575,0.0,0.0,-47.963565831187154,3.4162555540657995,-31.65130892028311,2.3568938303724756,0.12771488005815812,0.0784496732097517
FIFO,True,normal_congested,-187.20914858912414,30.62978778635344,0.01151107522675079,0.013419442202816427,0.6,0.6805570473787205,50.65,7.700136704186356,-0.38740819969146195,0.4894481266134943,-162.525,25.849501165908702,0.0,0.0,-7.403211297317455,2.2941661007767906,-16.910426715548773,3.226644131358457,0.016897623433554616,0.016926505756712118
FIFO,True,normal_normal,-170.17291594101312,29.528362066770004,0.062395571715921236,0.040983691734693975,3.05,1.669383750149485,48.2,8.35148899424843,-1.9468449323051709,1.0655925335928897,-156.45,27.188377935008223,0.0,0.0,-5.739020495852898,2.028602361246383,-6.098419749401802,1.1668280239559816,0.061369236546759055,0.03544949770061736
FIFO,True,variable_congested,-335.470714384173,39.08923468377733,0.0050182306512015435,0.006758344498427004,0.45,0.6048053188292994,87.7,7.574889264432916,-0.31585757463407366,0.47946712394130536,-283.575,34.01945070567408,0.0,0.0,-19.2542982032983,2.5546196746287424,-32.35232257579129,3.904147310649894,0.026763969550629475,0.03366413136152362
FIFO,True,variable_normal,-311.0225463773189,37.589968441766565,0.02338355759696589,0.01685018319138644,2.05,1.4680814547887786,86.1,7.839844251943838,-1.3020091906592675,1.2041802908793846,-279.675,34.68818811550759,0.0,0.0,-18.131452136856147,2.7940516542028573,-12.001424529413681,1.4632930797519836,0.08733947961015892,0.0521878070986048
Greedy,False,burst_unseen,-478.67575816346,79.32176125064476,0.08090705677698302,0.0342134977260659,12.55,5.07288976090707,145.8,23.845114251859027,-7.130500609964299,2.5873620916150823,-462.3,78.57872351644359,0.0,0.0,-2.338389470586618,0.6713923840272636,-7.843796870341299,1.7987123141961718,0.9369287874322412,0.28543717560579446
Greedy,False,heavy_unseen,-610.6657856486825,39.90980199460137,0.048045814098290965,0.016508259835432963,8.7,2.8672378052018894,173.25,10.992222130598575,-5.880401539733454,1.8526103015106907,-592.725,39.49266254301985,0.0,0.0,-2.2802285972766554,0.49875108643894733,-10.587516310377463,1.3337228453885124,0.8073607987050465,0.25517408871027647
Greedy,False,normal_unseen,-124.69985215114991,25.993810360227695,0.41372001247512225,0.07586604330708906,20.9,3.6113855046447054,30.35,7.292930968085682,-10.481579875104533,1.9848805888241956,-110.625,25.483160074221974,0.0,0.0,-0.9395079461614916,0.2050960139159438,-2.962031491965453,0.40917717890227795,0.3082671620815606,0.09838601127732029
Greedy,False,unseen_congested,-518.1013453140025,45.979152319762385,0.010796194535362586,0.006490739951335054,1.3,0.8013147091860318,118.75,9.008037346842277,-1.772383784800731,1.0951413291777836,-470.1,41.9616366145128,0.0,0.0,-4.961204169686779,1.6503351715120202,-41.81492418664735,7.086182098308416,0.5471668271323162,0.38856200495738313
Greedy,False,unseen_normal,-486.0290371531031,43.411873326317206,0.04863128976192517,0.016822100235259856,5.85,2.1343062474478063,114.2,8.78155962649484,-7.036396949749897,2.881517117541869,-457.8,42.63967759333034,0.0,0.0,-6.908430600986364,1.8380883324348474,-16.252088025238216,2.183630304402733,1.9678784228713144,0.6632574268826847
Greedy,False,unseen_unseen,-502.6013743604482,45.02964298791448,0.019099454033238584,0.008793018229205982,2.3,1.0809352675491621,117.75,8.937649520280397,-2.8391004519424223,1.4779968644153354,-467.025,42.27618310461266,0.0,0.0,-5.455329388104826,1.8112213072100418,-28.14531072879859,4.543295776447595,0.8633662083976592,0.5408982396937725
Greedy,False,variable_unseen,-256.9124946890096,40.4253682905553,0.2067576974307234,0.0635364254499916,17.85,4.319783132958121,70.3,11.045837510835902,-10.287090919324289,2.300087347964893,-241.5,42.10138140001435,0.0,0.0,-1.6137703342913041,0.33831855897689633,-4.122028410057406,0.4737451062490637,0.610394974663431,0.12471723628727589
Greedy,True,burst_congested,-494.60459609527663,81.23192627263838,0.043035077790421254,0.01896886996901583,6.55,2.4596747752497685,151.8,24.12162166146686,-4.1891758416509255,1.6962285951912541,-476.55,79.65268357061173,0.0,0.0,-1.4609142629909466,0.432841085345862,-12.900957622654337,2.7879032349408646,0.4964516320195863,0.18872206848168205
Greedy,True,burst_normal,-438.6601969413242,81.36704350140651,0.20546244722445203,0.06333428266545212,31.7,7.49104728817568,126.65,25.441935957453353,-16.559602532494864,4.177959992321022,-415.275,82.30566825143812,0.0,0.0,-4.038331257221062,1.004713946002941,-4.993231796106127,0.7851824204397462,2.20596864449784,0.5449370616735848
Greedy,True,heavy_congested,-625.4067389890962,39.83267180730568,0.022877397738431414,0.010801334129733062,4.15,1.9540780569443943,177.8,10.541147445780474,-2.904604265515313,1.4879613361236739,-604.5,38.27359953091206,0.0,0.0,-1.6522044170955463,0.535745343649842,-16.75974187820613,2.224055016910435,0.40981157172082144,0.19879396696430274
Greedy,True,heavy_normal,-572.9497322816638,47.974737148439075,0.14640624261839535,0.04927043638919024,26.4,8.165395533011631,155.55,15.26425132199587,-16.769323930859503,5.066377917698221,-547.875,51.33529487594279,0.0,0.0,-4.721359809394406,0.9847511925623726,-5.789601002830949,0.5839113417002079,2.2055524614210382,0.5166891755729215
Greedy,True,normal_congested,-147.25291646955546,28.449467476464168,0.2184978918236257,0.08377122323451969,10.9,3.8784153030790676,40.35,8.904611460538742,-6.121536355486133,2.329981305582921,-137.25,29.149117527492642,0.0,0.0,-0.7068664951310994,0.2298626012483284,-3.3736047841385903,0.5095134207755041,0.19909116520037248,0.07843819679121997
