scheduler,workload,network,task_seed,num_tasks,episode_return,return_per_task,on_time_rate,completion_rate,avg_latency_ms,energy_per_task_j
RoundRobin,heavy,normal,700000099,177,-506.2047077256108,-2.859913602969552,0.2711864406779661,0.2768361581920904,1088.072448848313,29.378257556409118
Random,heavy,normal,700000099,177,-525.6279267874833,-2.9696493038840863,0.288135593220339,0.2937853107344633,1209.4892912111613,32.98563554261849
Greedy,heavy,normal,700000099,177,-497.6674588353035,-2.811680558391545,0.24858757062146894,0.24858757062146894,1354.1676500144754,17.408112306836355
ECT,heavy,normal,700000099,177,-517.4215693921819,-2.923285702780689,0.22598870056497175,0.23163841807909605,1361.8523407186754,12.701482804129515
FIFO,heavy,congested,700000100,174,-694.4846865845102,-3.9912913022098286,0.0,0.0,0.0,227.3872988505758
RoundRobin,heavy,congested,700000100,174,-613.0681865011378,-3.5233803821904472,0.034482758620689655,0.040229885057471264,1510.6539097400412,84.77288727702289
Random,heavy,congested,700000100,174,-617.7864610241338,-3.550496902437551,0.022988505747126436,0.022988505747126436,1099.5529938617403,81.69392754279593
Greedy,heavy,congested,700000100,174,-576.6582961466382,-3.314128138773783,0.028735632183908046,0.028735632183908046,1470.8873141316221,40.29859240607377
ECT,heavy,congested,700000100,174,-594.0114130793177,-3.4138586958581474,0.017241379310344827,0.017241379310344827,1617.4331539775205,43.98362645673538
FIFO,heavy,congested,700000101,212,-879.2035847717524,-4.147186720621473,0.0,0.0,0.0,224.18014150943947
RoundRobin,heavy,congested,700000101,212,-799.8147873498681,-3.7727112610842832,0.0047169811320754715,0.0047169811320754715,1631.9515285919065,70.87559907543539
Random,heavy,congested,700000101,212,-791.4699588070215,-3.7333488622972713,0.02358490566037736,0.02358490566037736,1417.0427237609058,65.50142596405962
Greedy,heavy,congested,700000101,212,-737.0071393802405,-3.4764487706615115,0.02358490566037736,0.02358490566037736,1585.020231253754,35.6123017400166
ECT,heavy,congested,700000101,212,-776.5170251438938,-3.6628161563391215,0.02358490566037736,0.02358490566037736,1743.8137600002397,70.09791804513284
FIFO,heavy,congested,700000102,175,-755.0362774391473,-4.314493013937985,0.0,0.0,0.0,231.12611428571398
RoundRobin,heavy,congested,700000102,175,-683.9883975397197,-3.908505128798398,0.017142857142857144,0.017142857142857144,1609.2201338030093,89.7362452340667
Random,heavy,congested,700000102,175,-675.3924530146786,-3.8593854457981633,0.011428571428571429,0.011428571428571429,1014.2038754087223,63.86650843363489
Greedy,heavy,congested,700000102,175,-644.0721719838923,-3.6804124113365275,0.005714285714285714,0.005714285714285714,1256.384122149247,48.78458672710849
ECT,heavy,congested,700000102,175,-654.9198957065973,-3.742399404037699,0.0,0.0,0.0,49.09174200646182
FIFO,heavy,congested,700000103,183,-740.7029035645708,-4.047556850079622,0.0,0.0,0.0,208.141370298793
RoundRobin,heavy,congested,700000103,183,-660.2550516495985,-3.6079511019103743,0.04371584699453552,0.04371584699453552,1590.8179222864132,75.61336906406383
Random,heavy,congested,700000103,183,-658.5058954320125,-3.598392871213183,0.03825136612021858,0.04371584699453552,1040.5563453520522,80.96754989494781
Greedy,heavy,congested,700000103,183,-631.8318549270623,-3.4526330870331274,0.0273224043715847,0.0273224043715847,1527.309726202634,50.642207882078296
ECT,heavy,congested,700000103,183,-648.6096139135373,-3.5443148301286187,0.03825136612021858,0.03825136612021858,1680.486320935102,60.612420090708966
FIFO,heavy,congested,700000104,175,-709.4862293444323,-4.0542070248253275,0.0,0.0,0.0,217.36897142857487
RoundRobin,heavy,congested,700000104,175,-637.8149955279287,-3.6446571173024496,0.017142857142857144,0.017142857142857144,1327.6068722910966,73.22562390642474
Random,heavy,congested,700000104,175,-637.4807034070695,-3.642746876611826,0.03428571428571429,0.04,1535.5990931649123,68.72220277228284
Greedy,heavy,congested,700000104,175,-598.8432266601028,-3.4219612952005876,0.017142857142857144,0.017142857142857144,1327.5284205274502,44.05555744060865
ECT,heavy,congested,700000104,175,-623.6138061247618,-3.5635074635700676,0.011428571428571429,0.011428571428571429,1535.4931928851736,64.63677209058781
FIFO,heavy,congested,700000105,183,-773.051927463227,-4.22432747247665,0.0,0.0,0.0,194.67119811206874
RoundRobin,heavy,congested,700000105,183,-702.2080483503875,-3.8372024500021173,0.01092896174863388,0.01092896174863388,1127.4159241869922,60.48173988126956
Random,heavy,congested,700000105,183,-696.058057128687,-3.803595940593918,0.03278688524590164,0.03825136612021858,1816.6570105665648,57.6682236653585
Greedy,heavy,congested,700000105,183,-667.646461054811,-3.6483413172394044,0.0273224043715847,0.0273224043715847,1880.194035118678,47.460263970352635
ECT,heavy,congested,700000105,183,-680.7776619255368,-3.7200965132542994,0.02185792349726776,0.02185792349726776,1624.8733759306697,55.6220786269604
FIFO,heavy,congested,700000106,165,-680.6247688827234,-4.124998599289233,0.0,0.0,0.0,210.73668713050398
RoundRobin,heavy,congested,700000106,165,-609.291128513664,-3.6926735061434184,0.048484848484848485,0.048484848484848485,1341.6566362309886,61.77998785206266
Random,heavy,congested,700000106,165,-604.8691426901654,-3.6658735920616086,0.030303030303030304,0.030303030303030304,1439.9203719620216,55.645790305124166
Greedy,heavy,congested,700000106,165,-576.6338383736697,-3.494750535597998,0.024242424242424242,0.024242424242424242,1459.1146959782532,39.71441763786684
ECT,heavy,congested,700000106,165,-587.5831264231548,-3.5611098571100293,0.01818181818181818,0.01818181818181818,1282.9317023793863,49.8970729346443
FIFO,heavy,congested,700000107,186,-767.5431125401764,-4.126575873871916,0.005376344086021506,0.005376344086021506,954.80423731503,236.57084710045652
RoundRobin,heavy,congested,700000107,186,-691.4252955153165,-3.7173402984694435,0.021505376344086023,0.021505376344086023,1559.1105327315508,81.32799538065215
Random,heavy,congested,700000107,186,-691.308634516224,-3.716713088796903,0.043010752688172046,0.043010752688172046,1563.823482071779,94.20255223286402
Greedy,heavy,congested,700000107,186,-648.2230253570783,-3.485070028801496,0.021505376344086023,0.021505376344086023,1774.1105327315508,48.57602778895659
ECT,heavy,congested,700000107,186,-665.8980365061431,-3.580096970463135,0.021505376344086023,0.021505376344086023,1513.133302775057,70.04898505163158
FIFO,heavy,congested,700000108,182,-797.0002896329643,-4.379122470510793,0.0,0.0,0.0,216.87489010989128
RoundRobin,heavy,congested,700000108,182,-724.7038607273562,-3.9818893446558032,0.016483516483516484,0.016483516483516484,1446.7572763309206,58.327038406785775
Random,heavy,congested,700000108,182,-734.9049100064774,-4.037939065969656,0.027472527472527472,0.027472527472527472,1313.938288017743,94.00612863284918
Greedy,heavy,congested,700000108,182,-684.1746459102321,-3.7592013511551214,0.02197802197802198,0.02197802197802198,1455.1712093599704,45.598678985829444
ECT,heavy,congested,700000108,182,-698.2103602371392,-3.8363206606436218,0.027472527472527472,0.027472527472527472,1292.5556800745867,62.197907275464495
FIFO,heavy,congested,700000109,198,-765.4937381160113,-3.8661299904849056,0.005050505050505051,0.005050505050505051,1305.0892843989516,233.49616815266037
RoundRobin,heavy,congested,700000109,198,-682.9687623625517,-3.4493371836492512,0.020202020202020204,0.020202020202020204,1529.2973857635197,84.61072388918929
Random,heavy,congested,700000109,198,-681.6991162182394,-3.4429248293850474,0.010101010101010102,0.010101010101010102,1564.7796120807584,85.63572304869189
Greedy,heavy,congested,700000109,198,-641.5181233528899,-3.2399905219842924,0.015151515151515152,0.015151515151515152,1384.4312003368175,54.664026256939586
ECT,heavy,congested,700000109,198,-668.943621215346,-3.378503137451242,0.020202020202020204,0.020202020202020204,1496.5316965408408,79.4773087287786
FIFO,heavy,congested,700000110,182,-708.6180111054483,-3.8935055555244413,0.0,0.0,0.0,225.05862637362532
RoundRobin,heavy,congested,700000110,182,-633.4075873307886,-3.480261468850487,0.005494505494505495,0.005494505494505495,618.8974273136707,89.49663660976785
Random,heavy,congested,700000110,182,-629.6508775593775,-3.459620206370206,0.016483516483516484,0.016483516483516484,1309.0338793790413,80.96793016115437
Greedy,heavy,congested,700000110,182,-593.1810549443937,-3.259236565628537,0.005494505494505495,0.005494505494505495,748.8974273136707,43.12927409790734
ECT,heavy,congested,700000110,182,-614.148412343902,-3.3744418260653957,0.005494505494505495,0.005494505494505495,1108.158751245817,56.84614707957753
FIFO,heavy,congested,700000111,177,-704.1803141539041,-3.978419853976859,0.0,0.0,0.0,215.1969491525457
RoundRobin,heavy,congested,700000111,177,-631.7108803319294,-3.5689880244741774,0.01694915254237288,0.01694915254237288,1800.9337467291218,66.66331499024379
Random,heavy,congested,700000111,177,-641.7349300512052,-3.6256210737356227,0.02824858757062147,0.02824858757062147,1382.306829584634,102.07009473377565
Greedy,heavy,congested,700000111,177,-597.5166196371963,-3.375800110944612,0.011299435028248588,0.011299435028248588,2009.6108716920166,44.09867192238563
ECT,heavy,congested,700000111,177,-615.9015710344927,-3.479669892850241,0.011299435028248588,0.01694915254237288,1496.0095445018462,70.16817127495122
FIFO,heavy,congested,700000112,174,-685.9615648869151,-3.942307844177673,0.0,0.0,0.0,229.0007542479168
RoundRobin,heavy,congested,700000112,174,-607.1179182113342,-3.4891834379961737,0.034482758620689655,0.034482758620689655,1257.1255982554912,97.38301710579223
Random,heavy,congested,700000112,174,-617.6268862517246,-3.5495798060443944,0.022988505747126436,0.022988505747126436,1246.4609111984014,105.96930558317955
Greedy,heavy,congested,700000112,174,-566.5844045889804,-3.2562322102814965,0.028735632183908046,0.028735632183908046,1236.2639760404788,47.479024245324354
